purpose_code,purpose_name,sector_code,sector_name,Aggregate sectors 1,Aggregate sectors 2,Aggregate sectors 3,Aggregate sectors 4,IDRC,IDRC WASH SP,Non-transfer,Non-transfer WASH SP
11110,Education policy and administrative management,111,"I.1.a. Education, Level Unspecified",Education,Education,Education,Social,Non-IDRC,All other,,
11120,Education facilities and training,111,"I.1.a. Education, Level Unspecified",Education,Education,Education,Social,Non-IDRC,All other,,
11130,Teacher training,111,"I.1.a. Education, Level Unspecified",Education,Education,Education,Social,Non-IDRC,All other,,
11182,Educational research,111,"I.1.a. Education, Level Unspecified",Education,Education,Education,Social,Non-IDRC,All other,,
11220,Primary education,112,I.1.b. Basic Education,Education,Education,Education,Social,Non-IDRC,All other,,
11230,Basic life skills for adults,112,I.1.b. Basic Education,Education,Education,Education,Social,Non-IDRC,All other,,
11231,Basic life skills for youth,112,I.1.b. Basic Education,Education,Education,Education,Social,Non-IDRC,All other,,
11232,Primary education equivalent for adults,112,I.1.b. Basic Education,Education,Education,Education,Social,Non-IDRC,All other,,
11240,Early childhood education,112,I.1.b. Basic Education,Education,Education,Education,Social,Non-IDRC,All other,,
11250,School feeding,112,I.1.b. Basic Education,Education,Education,Education,Social,Non-IDRC,All other,,
11260,Lower secondary education,112,I.1.b. Basic Education,Education,Education,Education,Social,Non-IDRC,All other,,
11320,Upper Secondary Education (modified and includes data from 11322),113,I.1.c. Secondary Education,Education,Education,Education,Social,Non-IDRC,All other,,
11330,Vocational training,113,I.1.c. Secondary Education,Education,Education,Education,Social,Non-IDRC,All other,,
11420,Higher education,114,I.1.d. Post-Secondary Education,Education,Education,Education,Social,Non-IDRC,All other,,
11430,Advanced technical and managerial training,114,I.1.d. Post-Secondary Education,Education,Education,Education,Social,Non-IDRC,All other,,
12110,Health policy and administrative management,121,"I.2.a. Health, General",Health,Health,Health,Social,Non-IDRC,All other,,
12181,Medical education/training,121,"I.2.a. Health, General",Health,Health,Health,Social,Non-IDRC,All other,,
12182,Medical research,121,"I.2.a. Health, General",Health,Health,Health,Social,Non-IDRC,All other,,
12191,Medical services,121,"I.2.a. Health, General",Health,Health,Health,Social,Non-IDRC,All other,,
12220,Basic health care,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12230,Basic health infrastructure,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12240,Basic nutrition,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12250,Infectious disease control,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12261,Health education,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12262,Malaria control,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12263,Tuberculosis control,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12264,COVID-19 control,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12281,Health personnel development,122,I.2.b. Basic Health,Health,Health,Health,Social,Non-IDRC,All other,,
12310,"NCDs control, general",123,I.2.c. Non-communicable diseases (NCDs),Health,Health,Health,Social,Non-IDRC,All other,,
12320,Tobacco use control,123,I.2.c. Non-communicable diseases (NCDs),Health,Health,Health,Social,Non-IDRC,All other,,
12330,Control of harmful use of alcohol and drugs,123,I.2.c. Non-communicable diseases (NCDs),Health,Health,Health,Social,Non-IDRC,All other,,
12340,Promotion of mental health and well-being,123,I.2.c. Non-communicable diseases (NCDs),Health,Health,Health,Social,Non-IDRC,All other,,
12350,Other prevention and treatment of NCDs,123,I.2.c. Non-communicable diseases (NCDs),Health,Health,Health,Social,Non-IDRC,All other,,
12382,Research for prevention and control of NCDs,123,I.2.c. Non-communicable diseases (NCDs),Health,Health,Health,Social,Non-IDRC,All other,,
13010,Population policy and administrative management,130,I.3. Population Policies/Programmes & Reproductive Health,Health,Health,Health,Social,Non-IDRC,All other,,
13020,Reproductive health care,130,I.3. Population Policies/Programmes & Reproductive Health,Health,Health,Health,Social,Non-IDRC,All other,,
13030,Family planning,130,I.3. Population Policies/Programmes & Reproductive Health,Health,Health,Health,Social,Non-IDRC,All other,,
13040,STD control including HIV/AIDS,130,I.3. Population Policies/Programmes & Reproductive Health,Health,Health,Health,Social,Non-IDRC,All other,,
13081,Personnel development for population and reproductive health,130,I.3. Population Policies/Programmes & Reproductive Health,Health,Health,Health,Social,Non-IDRC,All other,,
14010,Water sector policy and administrative management,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,All other,,
14015,Water resources conservation (including data collection),140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,All other,,
14020,Water supply and sanitation - large systems,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,Watsan large systems,,Watsan large systems
14021,Water supply - large systems,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,Watsan large systems,,Watsan large systems
14022,Sanitation - large systems,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,Watsan large systems,,Watsan large systems
14030,Basic drinking water supply and basic sanitation,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,Basic Watsan,,Basic Watsan
14031,Basic drinking water supply,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,Basic Watsan,,Basic Watsan
14032,Basic sanitation,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,Basic Watsan,,Basic Watsan
14040,River basins development,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,All other,,
14050,Waste management/disposal,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,All other,,
14081,Education and training in water supply and sanitation,140,I.4. Water Supply & Sanitation,Water and sanitation,Water and sanitation,Water and sanitation,Social,Non-IDRC,All other,,
15110,Public sector policy and administrative management,151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
15111,Public finance management (PFM),151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
15112,Decentralisation and support to subnational government,151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
15113,Anti-corruption organisations and institutions,151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
15114,Domestic revenue mobilisation,151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
15125,Public Procurement,151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
15130,Legal and judicial development,151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
15142,Macroeconomic policy,151,I.5.a. Government & Civil Society-general,"Governance, civil society and security","Governance, civil society and security","Governance, civil society and security",Social,Non-IDRC,All other,,
